marital_status,living_area_sqm,children_count,monthly_income,income_source,total_expenses,dti_ratio,avg_monthly_turnover,has_credit_card,num_credit_contracts,num_closed_loans,total_overdue_days,max_overdue_days,num_past_delinquencies,has_bankruptcy,avg_transaction_amount,num_transactions_monthly,premium_category,uses_mobile_banking,uses_investment_products,has_autopayment,employment_type,employer_industry,position_level,work_experience_total_years,has_business,business_profit,owns_car,car_value,owns_real_estate,real_estate_count,owns_land,loan_purpose,requested_amount,approved_amount,loan_rate,monthly_payment,payment_to_income_ratio,collateral_type,has_guarantor,has_higher_education,is_salary_client,is_premium_client,client_segment,tenure_months,Risk_Cluster
single,59,2,74346,business,43015,0.4,126448,1,2,3,12,7,0,0,535,4,goods,0,0,1,self_employed,education,specialist,18,0,0,1,1010561,1,0,0,car,155945,115233,18.0,14290,0.192,none,0,1,0,0,private,216,0.0
married,78,1,68441,salary,53831,0.41,160175,1,1,3,15,16,1,0,327,12,goods,0,0,1,private,construction,specialist,0,1,194247,0,0,1,0,0,repair,105576,76912,17.8,20972,0.306,none,0,0,1,0,mass_premium,123,0.0
married,56,0,92846,salary,65317,0.48,185849,1,1,1,11,7,0,0,7365,3,restaurants,1,0,0,self_employed,education,top_manager,20,0,0,0,0,0,0,0,repair,360659,292329,21.5,10587,0.114,car,0,0,0,0,mass,220,0.0
married,65,1,81871,self_employed,47556,0.3,86406,1,2,2,13,0,0,0,3286,12,goods,1,0,1,private,medicine,specialist,7,1,483317,0,0,0,0,0,emergency,167073,140723,29.3,7837,0.096,none,1,1,1,0,mass,46,0.0
married,58,0,68252,salary,52880,0.42,63662,1,2,2,13,15,3,0,7889,20,restaurants,1,0,0,private,construction,specialist,8,0,0,0,0,1,0,0,car,338267,252899,15.0,21610,0.317,real_estate,0,1,1,0,mass,91,0.0
married,53,0,120706,pension,100409,0.69,208160,1,1,0,26,13,1,0,2796,3,restaurants,1,0,0,private,manufacturing,specialist,19,0,0,0,0,0,3,1,car,546029,397016,19.1,3000,0.025,real_estate,1,0,0,0,mass,77,1.0
married,47,0,20000,self_employed,10350,0.23,28411,1,2,0,16,5,0,0,10351,8,utilities,1,0,0,self_employed,manufacturing,specialist,12,0,0,1,1640642,1,0,0,education,115943,94481,30.0,21840,1.092,real_estate,0,1,1,0,mass,94,0.0
married,76,0,113493,salary,46779,0.19,123226,1,1,0,4,0,0,1,3183,10,restaurants,1,1,0,private,construction,specialist,13,0,0,0,0,1,1,1,refinancing,86432,79405,28.7,25735,0.227,none,1,0,0,0,premium,155,2.0
single,97,1,102207,salary,54892,0.61,220359,1,0,1,0,1,2,0,2603,4,restaurants,1,0,0,private,IT,specialist,0,0,0,1,1583521,1,0,0,car,112504,95624,19.3,5455,0.053,none,0,1,1,0,mass,107,0.0
married,94,0,20000,salary,14744,0.35,28764,1,0,0,7,25,0,0,4654,9,goods,1,1,1,private,medicine,specialist,18,0,0,0,0,0,0,1,car,36558,34457,12.0,11498,0.575,none,0,1,1,0,mass_premium,48,0.0
married,33,1,102524,self_employed,87927,0.61,97010,0,1,2,15,9,3,0,2632,5,goods,1,0,0,private,retail,manager,0,0,0,0,0,1,0,0,car,437280,394936,14.0,9329,0.091,none,0,1,0,0,mass_premium,102,1.0
married,97,0,107046,salary,89012,0.35,133363,1,0,1,3,16,1,0,2343,4,utilities,1,0,1,private,construction,manager,18,1,234591,0,0,1,1,0,repair,107492,71803,30.5,8373,0.078,none,0,1,1,0,mass_premium,88,0.0
married,57,1,89661,salary,45824,0.11,174901,1,0,1,53,2,1,0,1280,10,travel,1,0,1,individual_entrepreneur,retail,specialist,15,0,0,1,1907774,1,0,0,car,1145503,750008,14.7,12184,0.136,none,1,0,0,0,mass,51,1.0
single,80,1,20000,business,16810,0.32,38029,1,0,2,65,7,1,0,1588,0,restaurants,1,1,0,private,finance,manager,13,0,0,0,0,1,0,0,repair,393293,262159,27.1,19230,0.962,none,0,1,0,0,mass,54,0.0
married,42,2,93892,salary,75617,0.47,117007,1,2,0,9,7,0,0,2567,10,utilities,1,1,1,private,retail,manager,4,0,0,1,1736813,1,1,1,repair,345698,284406,17.6,21867,0.233,guarantor,0,0,1,0,private,132,0.0
married,68,0,105251,self_employed,80748,0.37,145251,1,0,2,49,4,0,0,8786,5,goods,1,0,0,private,construction,manager,4,0,0,0,0,1,0,0,emergency,335849,212333,27.1,33489,0.318,car,0,1,0,0,private,142,0.0
single,72,2,49972,salary,37184,0.38,44210,0,2,1,20,6,0,0,7570,17,restaurants,1,0,1,private,construction,specialist,8,0,0,1,1078672,1,1,0,education,92748,60426,26.2,7249,0.145,none,1,1,0,0,mass,98,0.0
married,27,0,85439,salary,68654,0.7,206809,0,4,0,16,8,0,0,1877,6,restaurants,1,0,1,private,retail,specialist,7,1,180106,1,1242489,1,1,1,repair,137025,136760,28.5,36890,0.432,none,0,1,1,1,mass,128,0.0
single,80,1,57637,salary,47888,0.43,78165,1,0,2,21,0,2,0,5939,5,goods,1,0,0,self_employed,finance,specialist,14,0,0,1,1110287,0,0,0,car,436220,381279,24.9,31721,0.55,none,0,0,0,0,mass_premium,175,1.0
married,98,1,100988,salary,81755,0.52,240351,0,1,1,17,9,2,0,3376,2,travel,1,0,0,private,education,specialist,3,1,15273,1,733461,0,2,1,car,493702,325432,27.3,20425,0.202,real_estate,0,0,1,0,mass,33,1.0
married,60,0,59027,pension,27206,0.53,128891,1,3,1,26,0,1,0,1199,4,restaurants,1,0,0,self_employed,retail,manager,1,1,562092,0,0,0,1,0,emergency,205428,142427,30.4,19161,0.325,none,0,0,1,0,mass,161,0.0
divorced,99,1,49695,self_employed,37821,0.1,68072,1,0,2,0,20,1,0,4012,7,restaurants,1,0,0,private,manufacturing,manager,9,0,0,1,200000,0,0,1,car,211565,183793,21.0,3083,0.062,none,1,0,0,1,mass,161,0.0
widowed,60,3,68624,salary,56316,0.43,135879,1,0,1,34,5,0,0,3998,3,travel,1,0,0,government,manufacturing,top_manager,13,0,0,0,0,1,1,0,repair,292326,254559,24.8,7111,0.104,car,0,1,1,0,mass_premium,107,0.0
single,86,1,23042,salary,11356,0.68,36986,1,1,3,4,6,0,0,2220,5,goods,1,0,0,private,manufacturing,specialist,5,0,0,1,375747,1,0,1,repair,413394,401083,29.0,19239,0.835,real_estate,0,0,0,0,mass_premium,96,1.0
married,20,1,65149,salary,33023,0.55,160286,0,1,1,11,3,0,0,2557,1,goods,1,0,1,government,medicine,specialist,28,0,0,0,0,1,0,0,emergency,301770,192920,24.6,12825,0.197,car,1,1,0,0,mass_premium,189,0.0
married,125,0,82673,salary,65558,0.3,155874,0,0,1,28,36,0,0,2316,3,travel,1,0,1,private,IT,manager,27,0,0,0,0,1,0,1,car,220396,173698,27.9,22760,0.275,none,0,0,1,0,mass,179,0.0
single,102,1,100448,self_employed,57452,0.32,168996,0,2,1,6,3,0,0,558,8,restaurants,1,1,1,self_employed,manufacturing,specialist,7,0,0,0,0,1,0,0,emergency,267361,249156,23.3,66889,0.666,none,0,0,1,0,mass,123,0.0
married,57,0,78713,salary,47216,0.28,148338,1,2,1,65,5,0,0,659,6,travel,0,0,0,private,IT,top_manager,27,0,0,0,0,1,0,0,repair,465194,436004,25.4,14770,0.188,none,0,1,0,0,mass,118,1.0
married,20,0,20000,salary,11771,0.48,23488,1,2,1,3,7,1,0,2077,6,utilities,1,0,0,self_employed,construction,specialist,13,0,0,1,692043,1,3,1,emergency,212312,132507,24.5,14057,0.703,none,0,0,0,0,mass,23,0.0
married,72,1,117329,salary,59417,0.16,154975,1,2,0,3,12,1,0,1084,3,goods,1,0,1,private,education,specialist,0,1,349166,0,0,1,1,0,repair,224796,138794,22.9,11682,0.1,car,0,0,1,0,mass,235,0.0
married,28,2,120265,self_employed,104558,0.27,241922,1,1,3,10,3,0,0,2595,9,restaurants,1,1,1,private,construction,specialist,2,0,0,1,200000,1,1,0,car,207870,150314,30.3,19785,0.165,none,0,1,0,0,private,199,0.0
divorced,76,0,73939,salary,59367,0.4,69674,1,1,1,1,34,0,0,3734,11,goods,0,0,1,private,IT,specialist,0,0,0,1,1341596,0,1,0,refinancing,1119717,894725,14.2,9841,0.133,real_estate,1,0,1,1,mass,171,1.0
married,75,1,43682,salary,22944,0.42,57415,1,1,1,0,5,0,0,1839,4,goods,1,0,0,private,construction,specialist,0,1,486460,0,0,1,2,0,emergency,251227,190105,19.4,3000,0.069,car,0,1,0,0,mass_premium,32,0.0
single,41,0,51393,salary,23283,0.46,95244,1,3,0,16,2,2,0,1305,10,utilities,1,0,1,private,manufacturing,specialist,12,0,0,1,2264457,1,1,0,emergency,903922,629553,14.4,32723,0.637,guarantor,0,1,0,0,mass,163,1.0
married,93,0,62876,salary,36864,0.58,156729,1,1,3,9,3,0,0,4586,6,restaurants,1,0,1,private,finance,manager,17,0,0,0,0,1,0,0,repair,165631,107620,18.8,35260,0.561,none,0,0,1,0,private,27,0.0
married,85,0,79753,pension,48462,0.2,189304,0,1,3,18,16,1,0,6611,9,travel,1,0,1,private,finance,manager,4,1,91120,0,0,1,1,0,emergency,139168,136391,26.7,34919,0.438,none,1,1,0,0,mass_premium,60,0.0
married,89,0,59343,salary,23947,0.24,131431,0,1,3,46,6,1,0,15048,13,travel,1,1,1,private,manufacturing,specialist,19,0,0,1,513684,1,1,0,repair,288767,183576,17.6,15182,0.256,car,0,1,0,0,mass,207,0.0
married,65,1,39956,salary,33705,0.62,65983,0,2,2,42,5,0,0,1971,7,restaurants,0,0,1,private,IT,manager,3,0,0,1,1291987,0,1,1,repair,399170,390665,15.9,6675,0.167,none,0,0,0,0,private,227,1.0
widowed,29,1,105805,salary,87357,0.6,229392,1,1,1,20,0,0,0,2344,4,goods,1,0,1,private,medicine,specialist,18,0,0,0,0,1,0,0,education,473198,325868,14.6,8017,0.076,real_estate,1,0,1,0,mass,113,1.0
single,89,0,79005,salary,65185,0.59,138272,1,0,7,8,19,0,0,5803,5,travel,1,0,1,private,construction,specialist,22,0,0,1,1910773,1,2,0,car,191474,142330,14.1,39129,0.495,car,0,1,0,0,mass_premium,214,0.0
divorced,58,0,33166,salary,26629,0.23,52381,0,2,0,9,10,2,0,2274,1,goods,1,1,0,self_employed,medicine,specialist,8,0,0,1,283907,1,3,0,refinancing,385580,253562,26.3,49619,1.496,car,1,1,0,0,mass,84,0.0
divorced,30,1,80195,salary,61474,0.13,94629,1,1,3,9,28,2,0,3960,9,utilities,1,0,0,private,medicine,manager,8,0,0,1,901815,1,2,0,repair,507145,412880,13.0,12460,0.155,none,0,1,1,0,mass,173,1.0
single,98,2,75665,business,54271,0.41,182850,0,0,2,29,0,0,0,1474,4,utilities,1,1,0,private,construction,specialist,9,0,0,0,0,1,0,0,car,324320,294069,25.5,38197,0.505,none,0,1,0,0,mass_premium,186,0.0
divorced,117,0,44868,salary,39490,0.62,81522,1,0,0,25,15,3,0,5754,8,restaurants,1,0,0,private,IT,specialist,14,0,0,1,1233806,1,2,0,repair,206719,142505,26.9,26583,0.592,none,0,1,1,0,mass,15,0.0
married,63,3,111826,self_employed,84525,0.24,217849,1,2,0,18,12,2,0,2036,15,travel,0,0,0,individual_entrepreneur,finance,specialist,8,0,0,0,0,1,0,0,emergency,86531,65129,23.0,7980,0.071,real_estate,0,0,0,0,mass_premium,207,0.0
married,118,1,74721,pension,53434,0.64,77697,1,1,1,15,7,0,0,3105,14,goods,1,0,1,private,medicine,specialist,25,1,0,1,607912,1,1,0,car,213427,139837,21.8,34610,0.463,none,0,0,1,0,mass_premium,174,0.0
married,67,3,62418,pension,49585,0.18,95652,0,2,2,4,1,0,0,2129,5,utilities,1,0,1,private,medicine,specialist,16,0,0,1,1644046,1,1,0,education,152337,100504,29.4,23154,0.371,none,0,0,1,1,mass_premium,89,0.0
married,55,0,67078,salary,35090,0.28,163665,0,1,1,11,0,0,0,2085,9,utilities,1,0,1,private,manufacturing,specialist,31,0,0,0,0,1,3,0,car,123437,117103,22.7,40841,0.609,none,0,1,1,0,mass,125,0.0
married,49,2,85537,pension,75578,0.28,178604,1,2,1,6,4,0,0,619,7,utilities,1,0,0,private,manufacturing,specialist,19,0,0,1,200000,1,0,0,car,1581961,1517985,31.5,8761,0.102,none,1,1,0,0,mass,180,1.0
married,105,0,67473,self_employed,27635,0.19,155240,1,0,0,12,15,1,0,3661,6,goods,1,0,1,private,retail,specialist,0,0,0,0,0,1,0,0,repair,182339,131917,28.9,12303,0.182,none,0,0,0,0,mass,214,0.0
single,45,1,67180,salary,48651,0.62,98955,1,3,1,36,4,0,0,2594,2,travel,1,0,0,private,education,specialist,21,1,361241,0,0,1,2,0,repair,317755,296186,29.6,6918,0.103,none,1,1,1,0,premium,138,0.0
married,83,1,107308,business,47059,0.35,97972,1,1,1,12,16,0,0,2421,4,utilities,1,0,0,private,IT,manager,16,0,0,1,631289,1,0,0,car,200011,167596,18.6,18207,0.17,none,1,1,1,0,mass,176,0.0
married,51,1,20355,salary,16826,0.21,28446,1,1,1,91,25,0,0,5096,2,goods,1,0,1,self_employed,retail,specialist,12,0,0,1,547461,1,1,0,repair,239717,196079,31.8,13072,0.642,none,1,1,0,0,mass,152,0.0
married,53,0,26195,salary,23151,0.19,37699,0,0,1,10,4,1,0,3517,14,restaurants,1,0,0,private,construction,specialist,7,1,369813,0,0,0,0,0,car,321249,259964,26.3,10931,0.417,real_estate,0,0,1,1,mass,58,0.0
married,90,1,97193,self_employed,58734,0.35,127508,0,1,2,2,5,0,0,3386,9,restaurants,1,0,1,private,finance,manager,16,0,0,0,0,1,0,0,refinancing,666658,573072,17.7,10736,0.11,car,0,1,1,0,mass,225,1.0
single,55,3,154554,salary,128060,0.11,262030,1,0,1,58,2,0,0,3376,9,restaurants,1,1,0,private,medicine,specialist,0,0,0,1,314657,1,0,0,emergency,503781,372883,20.3,4494,0.029,car,0,1,0,0,premium,156,1.0
married,54,1,100677,business,57170,0.17,113425,1,1,1,2,4,0,0,591,3,goods,0,0,1,private,manufacturing,specialist,15,0,0,1,1245276,0,1,1,car,337240,286919,28.7,7438,0.074,car,1,1,0,0,mass,87,0.0
widowed,93,2,135247,business,64878,0.1,323786,1,0,1,12,5,0,0,6538,8,goods,1,0,1,government,IT,specialist,4,0,0,1,1873996,1,2,0,repair,481573,426322,27.4,17780,0.131,guarantor,0,1,0,0,mass_premium,186,1.0
single,104,0,54796,salary,29498,0.11,128375,1,1,1,19,24,0,0,4314,3,travel,1,0,0,private,finance,specialist,14,1,106239,0,0,1,0,0,education,282519,279606,20.5,12946,0.236,guarantor,1,1,0,1,premium,148,0.0
married,81,0,47702,salary,26280,0.7,59375,1,0,1,9,2,0,0,7149,8,goods,1,1,0,private,medicine,specialist,5,0,0,1,2042630,0,1,0,education,240771,237492,14.9,15916,0.334,none,0,0,1,0,private,133,0.0
married,48,1,85978,self_employed,61502,0.37,164005,1,0,2,0,15,0,0,2952,0,travel,1,1,1,private,education,specialist,0,0,0,1,2419222,0,1,0,repair,117524,85429,14.0,39909,0.464,none,1,1,0,0,mass,162,0.0
single,52,1,103377,salary,82502,0.54,170772,0,1,2,14,4,3,0,2621,10,travel,1,0,0,private,finance,specialist,1,0,0,0,0,0,2,0,emergency,50127,50069,28.1,7725,0.075,none,0,1,0,0,private,133,0.0
single,66,2,24095,salary,12110,0.54,29519,0,1,0,63,0,0,0,1772,10,goods,0,0,0,private,construction,specialist,16,0,0,1,200000,1,1,1,refinancing,30000,19547,29.9,14067,0.584,car,1,1,0,0,mass,31,0.0
single,73,3,62537,salary,27772,0.63,145402,0,1,0,17,12,0,0,3983,12,goods,1,0,1,private,finance,specialist,0,0,0,1,511504,0,0,0,refinancing,227577,166175,23.3,7373,0.118,none,0,0,0,0,mass,59,0.0
single,40,0,69054,salary,35274,0.16,82368,1,1,1,14,4,0,0,1027,16,goods,1,0,1,private,finance,specialist,10,0,0,1,1412475,1,0,1,repair,260925,161472,25.6,4128,0.06,none,1,1,0,0,mass,78,0.0
married,83,0,46239,salary,25351,0.42,86090,1,1,0,13,4,0,0,4200,2,goods,1,0,1,government,manufacturing,manager,13,1,83275,0,0,0,2,0,car,187831,138580,24.6,6870,0.149,none,0,1,0,0,mass,179,0.0
married,67,0,50322,salary,27169,0.29,68946,0,1,2,6,33,1,0,3449,6,restaurants,1,0,1,private,finance,manager,15,0,0,1,1720693,0,0,0,car,136440,97386,25.6,8554,0.17,guarantor,0,1,1,0,mass_premium,86,0.0
married,22,0,99507,salary,50746,0.43,219351,1,3,2,5,1,1,0,739,5,goods,1,0,1,private,IT,specialist,15,0,0,1,1391759,1,1,0,refinancing,279721,233402,14.8,6421,0.065,car,0,0,0,0,mass_premium,56,0.0
divorced,41,0,86438,salary,54715,0.3,160304,0,1,0,19,4,0,0,3152,10,goods,1,0,1,self_employed,finance,specialist,12,0,0,1,780549,1,0,1,repair,59727,50838,21.0,6849,0.079,none,1,1,0,0,private,109,0.0
single,52,1,97945,salary,81097,0.21,216988,1,0,1,5,24,2,0,5867,14,restaurants,1,1,0,private,IT,specialist,17,0,0,1,1238044,1,0,0,repair,303034,189300,24.0,16354,0.167,guarantor,0,1,0,0,mass,206,0.0
married,63,1,81790,salary,36819,0.5,113778,0,3,2,36,19,0,0,419,3,restaurants,1,0,0,private,retail,manager,1,0,0,0,0,0,0,0,emergency,399317,278276,18.2,22929,0.28,none,0,0,0,0,mass,105,0.0
married,112,3,39436,pension,32771,0.12,32297,0,2,4,3,14,2,0,3382,4,utilities,1,0,1,individual_entrepreneur,medicine,specialist,15,0,0,1,200000,1,3,1,emergency,348979,219474,13.2,36520,0.926,guarantor,0,0,1,0,mass,151,0.0
married,70,0,84808,self_employed,54998,0.64,99803,0,0,4,54,1,0,0,2776,6,utilities,1,0,0,private,construction,specialist,24,0,0,1,518585,1,0,1,education,140868,117249,30.2,9611,0.113,guarantor,0,0,0,0,mass,109,0.0
married,43,1,36676,salary,26782,0.19,80118,1,2,3,8,8,0,0,3199,8,utilities,1,0,1,individual_entrepreneur,construction,specialist,16,0,0,0,0,0,2,1,repair,233906,196225,22.4,39019,1.064,car,0,1,0,1,mass,176,0.0
single,70,0,59088,business,47724,0.47,79099,1,2,1,1,13,0,0,1673,8,travel,1,1,1,government,retail,manager,14,0,0,1,913017,1,0,0,repair,583907,565414,30.5,6025,0.102,none,0,0,1,0,mass,11,1.0
single,56,0,33731,salary,18625,0.55,45315,0,2,1,0,7,1,0,5800,4,utilities,1,0,1,private,IT,manager,9,0,0,0,0,1,1,0,emergency,521198,400917,24.8,13362,0.396,guarantor,1,1,0,0,mass_premium,233,1.0
divorced,73,1,48618,salary,42643,0.14,76057,0,0,2,26,2,0,0,567,16,goods,1,0,1,private,finance,specialist,12,1,0,0,0,1,0,0,repair,536026,524401,15.1,4285,0.088,guarantor,0,0,1,0,private,192,1.0
married,79,1,73166,salary,32329,0.64,92697,1,1,2,10,14,0,0,5990,11,goods,1,0,1,private,finance,specialist,15,0,0,0,0,1,1,0,education,143060,121212,18.0,17258,0.236,guarantor,1,1,0,0,mass,190,0.0
married,95,2,53987,self_employed,35838,0.31,117263,1,0,1,3,8,0,0,966,9,utilities,1,0,1,private,medicine,specialist,7,1,273282,1,680381,1,1,1,refinancing,84271,79696,20.8,7269,0.135,guarantor,0,1,0,0,mass,67,0.0
single,64,0,39089,salary,20615,0.7,52649,1,0,2,4,3,0,0,7131,15,goods,0,0,0,private,finance,top_manager,19,0,0,0,0,1,2,0,repair,112223,70358,14.5,23829,0.61,none,1,0,0,0,private,58,0.0
single,105,1,109822,salary,66329,0.14,200614,1,2,0,1,21,0,0,3993,11,utilities,1,0,1,private,construction,top_manager,14,0,0,0,0,1,0,1,repair,624258,404464,28.6,5829,0.053,none,0,0,1,0,mass,12,1.0
single,87,1,65814,salary,41096,0.53,103113,1,0,3,4,0,1,0,514,6,utilities,1,0,0,private,finance,specialist,18,0,0,1,767977,1,1,0,emergency,338376,210007,27.9,23161,0.352,none,1,0,0,0,mass,213,0.0
single,47,0,51522,self_employed,44167,0.2,66386,1,1,2,1,8,0,1,3110,8,restaurants,1,0,0,private,education,top_manager,10,1,17016,1,903993,1,1,0,repair,700153,646028,31.3,25626,0.497,car,0,1,0,0,mass,115,2.0
married,120,0,32116,salary,19937,0.34,40178,1,1,3,8,8,1,0,1413,1,restaurants,0,1,1,private,retail,specialist,2,0,0,1,854447,1,2,1,repair,697052,651806,30.5,10735,0.334,none,1,0,0,1,mass_premium,159,1.0
married,73,0,20000,self_employed,14979,0.37,33064,1,0,3,9,6,0,0,2937,5,travel,1,0,1,self_employed,manufacturing,specialist,17,0,0,1,200000,1,0,0,emergency,112696,75776,28.4,5647,0.282,guarantor,1,1,1,1,mass,18,0.0
married,44,0,62228,salary,54504,0.34,72087,1,1,1,12,40,0,0,4834,4,goods,1,0,1,private,manufacturing,specialist,17,0,0,1,1579261,0,0,1,emergency,106427,73693,23.3,52822,0.849,none,0,0,0,0,mass,90,0.0
married,106,0,21762,self_employed,14085,0.3,30196,1,1,2,12,4,0,0,1760,9,restaurants,1,0,0,government,medicine,specialist,1,0,0,0,0,1,1,0,car,762859,530169,30.1,11436,0.526,none,0,1,1,0,mass,68,1.0
married,116,0,94921,salary,57346,0.56,82291,1,1,3,5,4,0,0,2635,8,travel,1,0,0,private,IT,specialist,23,0,0,0,0,1,1,1,emergency,160788,125575,23.0,18245,0.192,none,1,1,1,0,mass,112,0.0
married,64,0,71032,salary,62968,0.59,152258,1,1,0,30,7,1,0,1757,17,restaurants,0,0,0,private,medicine,specialist,23,0,0,0,0,1,0,1,emergency,263776,224815,30.0,15891,0.224,guarantor,0,1,0,0,mass_premium,4,0.0
single,52,0,124542,business,101357,0.3,108873,0,0,1,5,18,0,0,2893,5,utilities,1,1,0,private,finance,specialist,12,0,0,1,436940,1,1,0,refinancing,51726,36497,19.5,14207,0.114,real_estate,1,0,0,0,mass_premium,124,0.0
married,60,2,77807,business,67683,0.39,177622,1,2,0,13,6,0,0,5616,12,restaurants,0,0,1,private,manufacturing,manager,0,0,0,1,1555032,0,0,1,emergency,118032,100303,26.2,28096,0.361,none,0,0,0,0,private,184,0.0
married,82,0,44566,pension,26677,0.35,39242,0,1,4,5,13,1,0,4224,7,utilities,0,0,1,self_employed,medicine,specialist,4,0,0,1,1868931,1,1,0,car,254873,229939,27.3,11583,0.26,none,0,1,0,0,private,142,0.0
divorced,96,0,20000,salary,14963,0.46,44837,1,0,1,26,20,1,0,3214,14,goods,1,0,1,government,retail,manager,8,0,0,1,1254160,0,1,0,education,65440,58131,29.5,6177,0.309,none,0,1,0,1,mass,213,0.0
married,79,2,98229,self_employed,51551,0.19,186151,1,2,1,91,4,0,0,3822,8,utilities,1,1,0,private,manufacturing,specialist,9,0,0,1,1256849,0,3,0,car,624914,387188,19.1,31976,0.326,none,1,0,0,0,mass,168,1.0
married,67,0,24536,business,20436,0.58,40732,1,0,0,2,27,0,0,3167,4,goods,1,0,0,private,finance,manager,18,1,253792,0,0,1,1,0,car,456684,417293,13.3,36640,1.493,guarantor,1,1,1,0,mass,94,1.0
single,102,1,55714,salary,48278,0.58,58300,1,3,1,46,10,0,0,5534,8,restaurants,1,0,0,private,manufacturing,specialist,28,0,0,1,1596906,1,1,0,repair,143302,114177,19.9,12406,0.223,none,0,1,0,0,mass,70,0.0
married,57,0,128593,pension,68660,0.45,159008,0,0,2,1,42,0,0,5446,4,goods,1,1,0,private,IT,specialist,21,0,0,1,693487,1,1,0,emergency,175913,144774,25.1,25043,0.195,none,0,1,0,0,mass,206,0.0
married,90,1,91384,salary,41348,0.55,180321,0,1,1,24,0,1,0,4281,10,travel,1,1,1,individual_entrepreneur,retail,manager,2,0,0,1,1266155,1,1,0,refinancing,736339,569047,20.0,4904,0.054,none,0,0,0,0,premium,146,1.0
married,57,2,83645,salary,41853,0.69,139741,1,1,1,43,6,0,0,2212,11,restaurants,1,1,0,private,construction,specialist,23,0,0,0,0,0,1,1,car,363055,277902,16.0,4547,0.054,guarantor,0,1,0,0,mass_premium,77,0.0
married,75,2,103051,salary,73827,0.65,172547,1,0,0,15,0,0,0,1603,17,goods,1,1,1,government,manufacturing,specialist,23,1,309514,1,1170188,1,0,1,refinancing,462944,295960,28.9,6758,0.066,real_estate,0,1,1,0,premium,105,1.0
