marital_status,living_area_sqm,children_count,monthly_income,income_source,total_expenses,dti_ratio,avg_monthly_turnover,has_credit_card,num_credit_contracts,num_closed_loans,total_overdue_days,max_overdue_days,num_past_delinquencies,has_bankruptcy,avg_transaction_amount,num_transactions_monthly,premium_category,uses_mobile_banking,uses_investment_products,has_autopayment,employment_type,employer_industry,position_level,work_experience_total_years,has_business,business_profit,owns_car,car_value,owns_real_estate,real_estate_count,owns_land,loan_purpose,requested_amount,approved_amount,loan_rate,monthly_payment,payment_to_income_ratio,collateral_type,has_guarantor,has_higher_education,is_salary_client,is_premium_client,client_segment,tenure_months
married,88,4,147227,salary,117807,0.459,191246,0,0,0,0,0,0,0,4448,43,goods,1,0,1,self_employed,IT,specialist,29,0,0,1,2167951,1,1,1,refinancing,760293,760293,17.7,26288,0.179,guarantor,1,1,0,1,premium,38
married,59,0,131741,salary,73297,0.366,258883,1,1,2,0,0,0,0,10355,25,travel,1,0,1,private,transport,specialist,26,0,0,0,0,1,2,0,education,373646,373646,11.0,22618,0.172,none,0,1,1,0,mass_premium,18
married,39,1,120729,salary,85720,0.395,252539,1,0,0,0,0,0,0,10522,24,restaurants,1,1,1,private,IT,specialist,19,0,0,1,1227680,1,1,0,repair,516934,516934,14.0,17666,0.146,guarantor,1,0,0,0,mass_premium,36
married,106,4,144375,business,124370,0.48,226829,0,4,6,0,0,0,0,13343,17,utilities,1,0,0,individual_entrepreneur,medicine,specialist,25,1,36659,1,1741896,0,0,0,refinancing,599555,599555,20.9,25838,0.179,none,0,1,0,1,premium,30
married,55,0,175065,salary,121966,0.39,386790,1,3,4,0,0,0,0,11376,34,goods,1,1,0,private,IT,manager,25,0,0,0,0,1,2,0,car,1102979,1102979,13.4,25630,0.146,car,1,0,1,1,premium,59
single,56,1,63912,self_employed,51088,0.465,140506,0,0,0,0,0,0,0,2867,49,restaurants,1,0,0,individual_entrepreneur,retail,junior,8,0,0,1,1108799,1,1,0,car,346698,346698,15.3,11807,0.185,car,0,1,0,0,mass,37
married,52,1,101066,salary,78556,0.431,144895,1,2,3,0,0,0,0,6037,24,utilities,1,0,1,private,transport,specialist,17,0,0,0,0,0,0,1,car,699972,699972,15.0,16114,0.159,car,1,1,1,0,mass_premium,63
married,49,1,35223,salary,32406,0.482,85127,1,3,3,0,0,0,0,2240,38,utilities,1,0,1,private,manufacturing,specialist,7,0,0,0,0,0,0,0,repair,126461,126461,16.4,5635,0.16,guarantor,1,0,1,0,mass,27
married,89,1,100085,salary,78706,0.437,234988,0,1,0,0,0,0,0,8703,27,travel,1,0,0,private,medicine,specialist,26,0,0,1,1763660,1,1,1,refinancing,508086,508086,14.9,16191,0.162,guarantor,0,1,0,0,mass_premium,40
married,51,2,147197,self_employed,113130,0.426,135382,1,3,1,0,0,0,0,4102,33,goods,1,0,1,self_employed,IT,specialist,18,0,0,0,0,0,0,0,consumer,541447,541447,15.5,23180,0.157,none,0,1,0,1,premium,28
single,26,1,111378,salary,46492,0.38,270718,1,2,4,0,0,0,0,8204,33,goods,1,0,0,private,transport,manager,13,0,0,0,0,1,1,1,consumer,394415,394415,7.8,26042,0.234,none,0,0,1,0,mass_premium,16
single,54,0,65828,salary,47718,0.422,127283,0,1,1,0,0,0,0,2829,45,restaurants,1,0,0,private,transport,specialist,8,1,49804,0,0,0,0,0,mortgage,995244,995244,10.2,11056,0.168,real_estate,0,1,1,0,mass,171
single,39,0,179630,self_employed,78849,0.32,235138,1,1,1,0,0,0,0,6718,35,utilities,1,1,1,individual_entrepreneur,manufacturing,manager,31,1,51644,1,1774123,0,0,0,car,1214611,1214611,10.0,29813,0.166,car,1,1,0,1,premium,50
married,45,0,81637,business,61783,0.418,202061,1,4,4,0,0,0,0,7484,27,travel,0,0,0,self_employed,transport,junior,18,1,23390,1,1334773,0,0,0,repair,347363,347363,17.6,12485,0.153,none,0,1,0,0,mass_premium,36
divorced,18,0,67542,salary,42766,0.324,166240,1,2,2,0,0,0,0,4889,34,restaurants,0,0,1,private,retail,specialist,12,0,0,0,0,0,0,1,refinancing,258504,258504,16.0,6924,0.103,none,0,0,0,0,mass,52
divorced,63,0,115057,salary,56529,0.302,267075,1,2,3,0,0,0,0,14838,18,utilities,1,1,1,private,medicine,specialist,12,0,0,0,0,0,0,0,repair,358712,358712,13.2,14961,0.13,guarantor,0,1,1,0,mass_premium,28
married,82,1,146501,salary,100744,0.396,357121,1,2,4,0,0,0,0,17006,21,utilities,1,0,0,private,finance,specialist,25,0,0,0,0,0,0,0,car,865034,865034,13.0,22825,0.156,car,1,0,0,1,premium,49
married,59,1,123510,self_employed,89524,0.476,245557,1,4,5,0,0,0,0,9445,26,utilities,1,0,0,self_employed,IT,specialist,18,1,113933,1,1214659,0,0,0,repair,586565,586565,14.9,27442,0.222,none,0,0,1,0,mass_premium,25
divorced,26,0,125394,salary,64119,0.329,359986,0,0,0,0,0,0,0,10285,35,restaurants,1,1,0,private,retail,manager,19,0,0,1,1222927,0,0,0,education,507474,507474,14.7,18798,0.15,none,0,1,0,0,mass_premium,33
widowed,69,1,178237,salary,90932,0.269,400631,0,0,0,0,0,0,0,25039,16,goods,1,1,1,private,medicine,top_manager,21,0,0,0,0,1,2,0,consumer,408472,408472,13.1,16045,0.09,none,0,0,0,1,premium,30
married,50,0,209157,salary,134803,0.466,258805,0,1,2,0,0,0,0,11252,23,goods,1,0,0,private,IT,manager,41,0,0,1,2224375,1,1,0,mortgage,4415383,4415383,11.2,50188,0.24,real_estate,0,1,0,1,premium,184
married,123,4,76622,salary,70492,0.66,114142,1,3,2,0,0,0,0,3004,38,travel,1,0,1,public,retail,specialist,12,1,34517,1,933904,0,0,0,car,580332,580332,21.6,25864,0.338,car,0,1,1,0,mass_premium,29
divorced,55,0,85804,salary,43426,0.365,120439,0,3,3,0,0,0,0,3346,36,goods,1,0,0,private,manufacturing,specialist,11,0,0,1,1109435,0,0,0,consumer,303066,303066,12.1,16092,0.188,none,0,1,1,0,mass_premium,21
married,75,1,79437,salary,58679,0.462,168887,0,3,4,0,0,0,0,5630,30,goods,1,0,0,public,retail,manager,4,1,21126,1,1351110,0,0,0,consumer,258852,258852,21.4,16184,0.204,none,0,0,0,0,mass_premium,19
married,50,0,133131,self_employed,93477,0.428,280727,1,0,0,0,0,0,0,9680,29,travel,1,0,0,private,manufacturing,manager,22,0,0,0,0,1,2,0,car,935764,935764,15.8,24309,0.183,car,1,1,0,0,mass_premium,54
married,87,3,161195,salary,109184,0.361,377973,1,1,2,0,0,0,0,9947,38,goods,1,0,1,private,IT,manager,29,0,0,1,1806024,1,2,0,refinancing,604171,604171,11.9,20048,0.124,guarantor,1,0,1,1,premium,36
married,53,1,118324,salary,64148,0.325,204167,1,1,3,0,0,0,0,6380,32,utilities,1,0,1,private,retail,specialist,18,0,0,1,1192043,1,2,0,refinancing,562535,562535,13.4,15964,0.135,none,0,1,1,0,mass_premium,45
married,61,1,110147,salary,63173,0.343,216077,0,1,1,0,0,0,0,6970,31,travel,1,1,0,public,IT,manager,10,0,0,0,0,1,1,1,refinancing,415566,415566,14.1,15659,0.142,guarantor,1,0,1,0,mass_premium,32
married,55,1,54855,salary,50466,0.697,99476,1,2,2,53,24,2,0,2842,35,utilities,1,0,1,private,manufacturing,specialist,10,0,0,1,870076,0,0,0,mortgage,1142273,1142273,20.8,20569,0.375,real_estate,0,0,0,0,mass,191
single,64,1,155421,business,110467,0.37,324927,1,2,2,56,14,3,0,10154,32,utilities,1,0,1,individual_entrepreneur,education,specialist,24,1,66771,0,0,1,2,0,repair,460102,460102,14.5,18909,0.122,none,0,1,0,1,premium,29
divorced,49,0,168604,salary,78440,0.419,344746,1,0,0,0,0,0,0,11492,30,utilities,1,0,1,private,retail,manager,24,0,0,0,0,0,0,1,car,1334300,1334300,10.2,43168,0.256,car,1,1,1,1,premium,36
single,32,0,112145,salary,75742,0.36,211597,1,1,2,0,0,0,0,6412,33,utilities,1,0,0,private,finance,specialist,20,0,0,1,1931804,0,0,0,repair,343210,343210,13.2,13881,0.124,guarantor,0,1,0,0,mass_premium,29
married,70,2,101538,salary,74932,0.47,251846,1,1,1,0,0,0,0,7196,35,restaurants,0,0,0,private,IT,specialist,7,0,0,1,1066357,0,0,0,consumer,313634,313634,13.1,21477,0.212,guarantor,1,1,0,0,mass_premium,16
single,34,0,115372,salary,67856,0.455,150135,1,1,2,0,0,0,0,4170,36,utilities,1,1,1,private,retail,manager,20,0,0,0,0,1,2,0,mortgage,2724677,2724677,9.7,28697,0.249,real_estate,1,0,0,0,mass_premium,181
divorced,42,0,129883,self_employed,50131,0.241,199280,0,3,4,0,0,0,0,6039,33,travel,1,1,0,self_employed,retail,specialist,21,0,0,0,0,0,0,0,refinancing,470758,470758,12.9,13734,0.106,none,0,1,1,0,mass_premium,43
married,80,3,95618,salary,84021,0.495,216058,1,3,3,0,0,0,0,6752,32,goods,1,0,0,public,manufacturing,specialist,17,0,0,0,0,0,0,0,repair,374731,374731,17.2,17946,0.188,car,0,1,0,0,mass_premium,25
married,71,3,169342,salary,151250,0.394,399944,0,3,2,0,0,0,0,19045,21,utilities,1,1,1,private,IT,specialist,30,0,0,1,2048915,0,0,0,consumer,391441,391441,17.9,13846,0.082,guarantor,0,1,0,1,premium,37
single,59,0,209972,self_employed,93348,0.237,533317,0,1,2,0,0,0,0,17777,30,utilities,1,0,0,individual_entrepreneur,finance,top_manager,21,0,0,0,0,1,1,0,repair,652678,652678,13.5,17141,0.082,guarantor,0,0,0,1,premium,50
widowed,23,0,166995,self_employed,76694,0.375,268115,0,3,3,0,0,0,0,9245,29,travel,1,0,1,self_employed,transport,manager,24,0,0,0,0,1,1,1,car,1224991,1224991,12.9,35717,0.214,car,0,1,0,1,premium,43
divorced,66,1,153412,salary,85316,0.385,340838,1,2,1,0,0,0,0,12624,27,utilities,1,0,1,private,finance,manager,21,0,0,0,0,0,0,0,car,1071189,1071189,13.0,29220,0.19,car,0,1,1,1,premium,47
single,64,0,74398,salary,58135,0.426,128555,0,1,1,0,0,0,0,2521,51,travel,1,0,0,public,retail,specialist,20,0,0,1,910886,0,0,0,car,409534,409534,14.0,11363,0.153,car,1,0,0,0,mass_premium,47
divorced,66,1,188623,self_employed,94223,0.306,249137,1,1,0,0,0,0,0,7550,33,utilities,1,1,0,private,IT,manager,24,0,0,0,0,0,0,0,consumer,441288,441288,13.4,24752,0.131,none,0,1,0,1,premium,20
single,62,0,67278,salary,39665,0.452,167357,0,2,3,0,0,0,0,11157,15,restaurants,1,0,1,private,finance,junior,0,0,0,0,0,0,0,0,car,482816,482816,15.7,16553,0.246,car,0,1,0,0,mass,37
single,38,0,86222,salary,49812,0.372,152573,1,1,1,0,0,0,0,6357,24,goods,1,0,1,private,education,specialist,10,1,60396,0,0,0,0,0,refinancing,397773,397773,16.1,14645,0.17,none,0,0,0,0,mass_premium,34
married,30,0,69308,salary,44674,0.528,154055,1,2,2,0,0,0,0,11004,14,goods,0,0,1,private,transport,junior,14,0,0,1,901954,0,0,0,mortgage,1520766,1520766,14.4,20948,0.302,real_estate,1,0,0,0,mass,172
divorced,69,0,112946,self_employed,77722,0.489,189195,1,2,3,0,0,0,0,5912,32,goods,1,0,1,individual_entrepreneur,finance,junior,13,0,0,0,0,1,3,1,car,832055,832055,15.9,28014,0.248,car,0,0,0,0,mass_premium,38
married,63,1,110957,salary,65689,0.369,279102,1,1,1,0,0,0,0,11164,25,goods,1,0,0,private,finance,specialist,11,0,0,1,761630,0,0,0,repair,475473,475473,17.9,17920,0.162,real_estate,0,0,0,0,mass_premium,34
married,69,2,175072,self_employed,131449,0.427,351016,1,2,3,0,0,0,0,50145,7,goods,0,1,0,individual_entrepreneur,medicine,specialist,33,0,0,0,0,1,1,0,car,1044818,1044818,15.1,28677,0.164,car,1,1,0,1,premium,49
single,47,0,72513,business,44435,0.331,77068,0,1,3,0,0,0,0,2141,36,goods,1,0,0,private,retail,manager,10,1,64171,0,0,1,1,0,car,353434,353434,15.1,8424,0.116,car,0,0,0,0,mass_premium,60
married,67,2,135779,business,67568,0.41,337379,1,5,4,0,0,0,0,9118,37,utilities,1,1,1,individual_entrepreneur,retail,specialist,27,1,25014,0,0,1,2,1,car,1086721,1086721,15.4,31963,0.235,car,0,0,0,0,mass_premium,45
married,65,1,77118,self_employed,49529,0.368,201864,1,2,3,0,0,0,0,5768,35,restaurants,1,0,1,self_employed,IT,specialist,0,0,0,1,767062,0,0,1,consumer,288806,288806,15.3,11050,0.143,none,0,0,0,0,mass_premium,32
single,52,0,121392,salary,61132,0.352,253608,1,2,1,0,0,0,0,5764,44,goods,1,0,0,private,education,specialist,13,0,0,1,1536972,0,0,0,car,879946,879946,8.5,21322,0.176,car,1,1,1,0,mass_premium,49
married,58,1,120517,business,67377,0.348,353320,1,1,3,0,0,0,0,7681,46,utilities,1,0,1,individual_entrepreneur,finance,specialist,17,1,26078,1,1884770,0,0,0,car,724296,724296,14.0,18389,0.153,car,0,1,0,0,mass_premium,53
single,92,3,135905,salary,123169,0.51,292006,1,1,0,0,0,0,0,10815,27,utilities,1,0,1,private,finance,specialist,23,0,0,1,1968150,0,0,0,education,560651,560651,18.2,26246,0.193,none,0,0,1,0,mass_premium,26
divorced,38,1,156662,salary,69174,0.307,265177,0,5,7,0,0,0,0,6468,41,utilities,1,0,0,private,retail,manager,27,0,0,1,1629609,1,1,0,consumer,573413,573413,12.9,23837,0.152,guarantor,1,1,1,1,premium,28
divorced,64,0,149963,salary,99160,0.333,369052,1,1,3,0,0,0,0,8787,42,travel,1,0,1,public,finance,manager,25,0,0,0,0,0,0,0,refinancing,603939,603939,16.0,15180,0.101,guarantor,1,0,1,1,premium,57
married,66,3,114594,self_employed,105426,0.559,240551,1,4,4,0,0,0,0,8018,30,utilities,1,0,1,self_employed,IT,junior,10,0,0,1,1901264,0,0,0,refinancing,616467,616467,20.7,27183,0.237,none,0,1,0,0,mass_premium,29
married,61,2,91531,salary,63659,0.449,161744,1,3,2,0,0,0,0,5391,30,goods,1,0,1,private,medicine,specialist,12,0,0,0,0,0,0,0,consumer,293795,293795,11.8,18846,0.206,guarantor,1,1,1,0,mass_premium,17
married,78,2,150456,salary,103310,0.404,333073,1,1,1,0,0,0,0,15140,22,restaurants,1,0,1,private,manufacturing,manager,29,0,0,1,1686707,0,0,0,consumer,563529,563529,17.6,24697,0.164,none,0,0,1,1,premium,28
married,48,1,113590,self_employed,90161,0.396,286581,1,2,4,0,0,0,0,6368,45,restaurants,1,0,0,self_employed,IT,specialist,18,0,0,0,0,0,0,0,consumer,396689,396689,17.3,13377,0.118,guarantor,0,0,0,0,mass_premium,39
married,68,1,96226,salary,69768,0.396,247125,0,3,5,0,0,0,0,7489,33,utilities,0,0,0,private,IT,specialist,5,0,0,1,1133320,0,0,0,refinancing,450100,450100,17.3,13657,0.142,none,0,0,1,0,mass_premium,45
widowed,20,1,180909,business,121105,0.395,513354,1,3,2,0,0,0,0,13874,37,utilities,1,0,0,individual_entrepreneur,retail,top_manager,4,1,135001,1,2031999,0,0,0,repair,692239,692239,16.4,29066,0.161,none,0,1,0,1,premium,29
single,52,0,166169,self_employed,77819,0.378,484274,0,2,0,0,0,0,0,28487,17,restaurants,1,0,1,self_employed,finance,top_manager,4,0,0,1,2917808,0,0,0,repair,759946,759946,14.8,35514,0.214,none,0,1,0,1,premium,25
married,91,4,167199,pension,112775,0.446,285803,1,2,4,0,0,0,0,9855,29,utilities,0,0,0,self_employed,finance,manager,19,0,0,0,0,0,0,0,mortgage,2651896,2651896,13.9,35040,0.21,real_estate,0,1,1,1,premium,181
married,81,2,141880,salary,109200,0.497,264308,1,7,9,0,0,0,0,11492,23,restaurants,1,0,0,private,transport,manager,15,0,0,1,1127305,0,0,0,car,1088281,1088281,15.0,32311,0.228,car,1,1,0,1,premium,44
divorced,97,1,127853,salary,60118,0.255,292498,0,2,2,0,0,0,0,8864,33,goods,1,0,0,private,education,specialist,25,0,0,1,1930213,1,2,1,refinancing,504874,504874,10.9,11533,0.09,none,0,1,0,0,mass_premium,56
single,44,0,153451,self_employed,95285,0.621,328010,0,1,0,0,0,0,0,10934,30,travel,1,0,1,self_employed,finance,manager,9,0,0,1,2032309,1,2,0,repair,524779,524779,14.9,61981,0.404,none,0,1,0,1,premium,9
married,104,4,134864,salary,124075,0.539,209019,1,5,5,0,0,0,0,10451,20,goods,1,0,0,self_employed,transport,manager,21,0,0,0,0,0,0,0,car,803842,803842,18.6,29298,0.217,car,1,0,0,0,mass_premium,36
widowed,83,1,110056,salary,82933,0.478,278562,1,2,3,0,0,0,0,15476,18,goods,1,1,0,private,retail,specialist,27,0,0,1,1323095,1,1,1,refinancing,587113,587113,14.9,23575,0.214,none,0,0,1,0,mass_premium,30
married,46,0,89267,salary,53853,0.335,194139,0,1,2,0,0,0,0,5883,33,goods,1,0,1,public,retail,specialist,13,0,0,1,1551916,0,0,0,education,317037,317037,12.0,11050,0.124,guarantor,1,1,1,0,mass_premium,34
divorced,58,0,163749,salary,110349,0.416,281826,0,2,1,0,0,0,0,10438,27,travel,1,1,0,private,manufacturing,top_manager,22,0,0,1,2589981,1,2,0,consumer,556114,556114,16.8,29546,0.18,guarantor,0,1,0,1,premium,22
married,79,1,141739,salary,68293,0.317,289614,1,3,4,0,0,0,0,7621,38,goods,1,0,0,public,finance,manager,12,0,0,0,0,0,0,0,car,941668,941668,13.8,21095,0.149,car,0,1,1,1,premium,63
single,53,0,85394,salary,40870,0.343,88532,0,3,3,0,0,0,0,2767,32,goods,0,0,0,public,retail,specialist,15,0,0,1,586136,1,1,0,car,546280,546280,12.4,14988,0.176,car,0,1,0,0,mass_premium,46
single,25,0,114177,salary,81376,0.349,333465,1,2,3,0,0,0,0,9263,36,travel,1,0,0,private,medicine,specialist,13,0,0,0,0,1,1,0,consumer,290674,290674,12.7,11363,0.1,none,0,1,1,0,mass_premium,30
married,73,0,83447,salary,58727,0.35,213728,1,2,2,0,0,0,0,8549,25,travel,1,0,1,private,finance,junior,5,0,0,1,1492756,1,1,0,consumer,220451,220451,15.1,8632,0.103,car,0,1,0,0,mass_premium,31
widowed,65,1,122333,salary,88297,0.416,356914,1,2,1,0,0,0,0,14277,25,restaurants,1,0,1,private,education,specialist,22,0,0,0,0,1,1,0,repair,393655,393655,12.0,20021,0.164,real_estate,0,1,1,0,mass_premium,22
married,52,0,103402,salary,68438,0.347,275068,1,1,0,0,0,0,0,9824,28,utilities,1,0,1,self_employed,finance,junior,11,0,0,0,0,0,0,0,refinancing,368305,368305,18.1,11897,0.115,guarantor,0,1,0,0,mass_premium,42
single,48,0,225676,salary,138798,0.334,634843,1,4,4,0,0,0,0,28856,22,utilities,1,1,1,private,finance,top_manager,19,0,0,1,1741952,0,0,0,consumer,684317,684317,14.9,26724,0.118,none,0,0,1,1,premium,31
divorced,50,0,108047,salary,62370,0.324,264264,1,0,0,0,0,0,0,9113,29,utilities,1,0,0,private,medicine,specialist,21,0,0,1,782707,1,1,0,car,528648,528648,14.9,13143,0.122,car,1,0,1,0,mass_premium,56
divorced,20,0,146281,salary,68940,0.315,350100,1,1,1,0,0,0,0,8539,41,restaurants,1,1,0,private,manufacturing,manager,23,0,0,1,2133572,0,0,0,consumer,420284,420284,15.1,21985,0.15,none,0,0,1,1,premium,22
single,60,1,133169,self_employed,65531,0.285,215517,1,1,3,0,0,0,0,16578,13,utilities,1,0,0,private,retail,specialist,23,0,0,1,2244264,1,1,0,refinancing,641199,641199,14.9,15064,0.113,none,0,0,0,0,mass_premium,61
divorced,69,1,86529,self_employed,65003,0.413,215587,0,3,1,0,0,0,0,5673,38,goods,1,0,0,self_employed,medicine,specialist,13,0,0,1,853223,1,3,0,repair,391195,391195,16.2,12970,0.15,none,0,0,0,0,mass_premium,39
single,45,0,79733,business,48713,0.41,184609,1,3,5,0,0,0,0,6366,29,goods,1,0,1,self_employed,manufacturing,specialist,12,1,22730,1,1387452,0,0,0,consumer,290265,290265,13.7,15628,0.196,guarantor,1,1,1,0,mass_premium,21
single,35,0,101017,salary,60184,0.385,281076,1,3,4,0,0,0,0,7027,40,goods,1,0,1,public,retail,specialist,17,0,0,1,792559,0,0,0,repair,339380,339380,10.6,17781,0.176,none,0,1,1,0,mass_premium,21
married,36,0,31675,salary,29141,0.523,87445,1,3,3,0,0,0,0,3644,24,utilities,1,0,1,private,transport,specialist,0,0,0,0,0,0,0,0,car,223624,223624,15.5,6377,0.201,car,0,0,0,0,mass,47
married,104,3,60338,salary,53348,0.462,80962,0,5,4,0,0,0,0,3855,21,utilities,1,0,0,private,manufacturing,specialist,1,0,0,0,0,0,0,0,repair,212601,212601,16.4,9187,0.152,none,0,1,1,0,mass,28
single,55,0,102481,salary,39671,0.344,120736,1,4,5,0,0,0,0,2808,43,utilities,1,0,1,private,IT,specialist,5,0,0,0,0,1,1,0,mortgage,2313151,2313151,7.5,21379,0.209,real_estate,1,1,1,0,mass_premium,181
married,89,2,126914,business,81008,0.345,195193,1,3,4,0,0,0,0,7507,26,utilities,1,0,1,individual_entrepreneur,medicine,manager,8,1,30679,0,0,0,0,0,education,477130,477130,19.1,15399,0.121,none,0,1,0,0,mass_premium,43
single,35,0,127033,salary,71019,0.297,224722,1,2,2,0,0,0,0,8323,27,goods,1,0,0,private,retail,specialist,24,0,0,1,2245922,0,0,0,refinancing,439293,439293,14.1,12846,0.101,real_estate,0,1,1,0,mass_premium,44
married,81,2,117212,salary,97256,0.672,272208,1,3,3,0,0,0,0,7163,38,utilities,1,0,1,public,IT,manager,9,0,0,0,0,1,2,0,repair,525648,525648,17.9,44778,0.382,none,0,0,0,0,mass_premium,13
married,57,0,112084,salary,57969,0.295,251411,1,1,0,0,0,0,0,7183,35,goods,1,0,1,self_employed,manufacturing,specialist,14,0,0,1,1003657,1,1,0,consumer,267508,267508,13.8,12823,0.114,none,0,1,1,0,mass_premium,24
divorced,43,0,194834,self_employed,130486,0.434,367123,1,1,0,0,0,0,0,12237,30,utilities,1,1,0,private,IT,manager,33,0,0,1,1289648,0,0,0,mortgage,3434050,3434050,11.6,38964,0.2,real_estate,1,0,1,1,premium,197
single,84,2,123467,salary,96323,0.366,255635,1,2,1,0,0,0,0,5945,43,restaurants,1,0,1,private,IT,specialist,14,1,71590,1,1764338,1,2,1,consumer,326323,326323,17.7,11513,0.093,none,0,0,1,0,mass_premium,37
married,62,0,143830,salary,82427,0.344,275410,0,2,3,0,0,0,0,22951,12,travel,0,0,0,private,manufacturing,manager,22,0,0,0,0,0,0,0,refinancing,556517,556517,12.8,20627,0.143,none,0,0,1,1,premium,32
married,64,3,90513,salary,83272,0.502,187476,1,1,3,0,0,0,0,4687,40,goods,1,0,1,self_employed,retail,specialist,6,0,0,1,1215742,0,0,0,car,546926,546926,18.9,16313,0.18,car,0,1,1,0,mass_premium,48
single,35,0,108910,salary,66558,0.333,286456,0,3,4,0,0,0,0,8680,33,utilities,1,0,0,public,finance,specialist,12,0,0,0,0,0,0,0,consumer,359060,359060,12.7,12943,0.119,guarantor,1,1,1,0,mass_premium,33
single,48,1,118570,self_employed,70070,0.32,305539,1,3,5,0,0,0,0,10536,29,goods,1,0,0,self_employed,manufacturing,manager,4,0,0,1,1704231,0,0,1,repair,377801,377801,15.3,13458,0.114,guarantor,1,1,0,0,mass_premium,35
married,69,2,46049,salary,42365,0.456,87887,1,5,6,0,0,0,0,3380,26,utilities,1,0,1,private,retail,specialist,9,1,24323,0,0,1,1,0,consumer,125765,125765,16.0,6158,0.134,none,0,0,0,0,mass,24
married,66,0,102415,salary,71122,0.413,210943,1,1,2,0,0,0,0,6592,32,travel,1,0,0,private,retail,specialist,26,0,0,1,1181448,0,0,0,consumer,250363,250363,15.4,17409,0.17,none,0,1,1,0,mass_premium,16
married,92,2,20221,salary,18603,0.47,18394,0,5,4,0,0,0,0,1082,17,utilities,1,0,1,private,retail,junior,1,0,0,0,0,0,0,0,refinancing,94368,94368,18.2,3000,0.148,guarantor,1,1,1,0,mass,61
married,82,2,114872,salary,69272,0.351,231501,1,3,3,0,0,0,0,10065,23,utilities,1,0,1,private,finance,specialist,18,0,0,0,0,1,2,1,repair,339053,339053,16.3,16090,0.14,guarantor,0,0,1,0,mass_premium,25
married,93,2,132524,salary,101604,0.37,362923,1,4,5,0,0,0,0,10081,36,utilities,1,0,1,private,retail,manager,20,0,0,1,2111804,0,0,0,consumer,406869,406869,16.1,13469,0.102,guarantor,0,1,0,0,mass_premium,39
married,57,2,78616,salary,70156,0.549,105836,1,1,1,0,0,0,0,3307,32,travel,1,0,1,private,finance,junior,8,0,0,0,0,0,0,0,mortgage,1380216,1380216,14.2,18610,0.237,real_estate,1,1,1,0,mass_premium,179
